FoodID,MeasureID,ConversionFactorValue,ConvFactorDateOfEntry
16,385,0.09574,2014-01-17
16,439,0.0319,2014-01-17
20,358,1.01442,2014-01-28
20,978,2.53605,2014-01-28
28,341,0.97973,2014-01-28
28,385,0.14696,2014-01-28
28,415,2.4515,2014-01-28
28,428,0.29392,2014-01-28
43,341,1.0482,2014-01-28
43,383,1.31029,2014-01-28
43,415,2.62059,2014-01-28
179,385,0.06594,2014-04-28
179,439,0.02198,2014-04-28
198,1641,0.06999,2014-05-01
198,502598,0.02333,2014-05-01
212,428,0.03043,2015-02-16
524,341,1.03556,2014-09-12
524,385,0.15533,2014-09-12
524,415,2.58889,2014-09-12
524,428,0.31066,2014-09-12
696,128,0.63,2015-04-21
697,128,0.45,2015-04-21
832,315,0.495,2014-09-25
833,315,0.265,2014-09-25
834,1122,0.67628,2014-09-25
834,1124,1.6907,2014-09-25
835,315,0.255,2014-09-26
836,315,0.2,2014-09-26
837,315,0.21,2014-09-26
838,477,2.9,2014-09-22
839,477,1.96,2014-09-22
840,477,2.2,2014-09-24
840,1122,0.59175,2014-09-24
840,1124,1.47936,2014-09-24
841,477,2.72,2014-09-22
842,477,1.72,2014-09-22
842,1122,0.59175,2014-09-22
842,1124,1.47936,2014-09-22
843,477,1.9,2014-09-22
843,1122,0.59175,2014-09-22
843,1124,1.47936,2014-09-22
844,86,1.33,2014-09-22
845,86,1.05,2014-09-23
846,86,0.57,2014-09-23
846,1122,0.59175,2014-09-23
846,1124,1.47936,2014-09-23
847,86,1.22,2014-09-23
848,86,0.96,2014-09-23
850,297,1.93,2014-09-24
851,297,1.37,2014-09-24
852,297,0.68,2014-09-24
853,297,1.89,2014-09-24
854,297,1.16,2014-09-24
855,297,0.55,2014-09-24
855,1122,0.59175,2014-09-24
855,1124,1.47936,2014-09-24
924,38,3.131,2015-03-17
924,341,1.10248,2014-12-01
924,383,1.3781,2014-12-01
924,415,2.7562,2014-12-01
926,502553,5.46,2014-04-24
927,38,3.14967,2014-12-03
927,341,1.10904,2014-12-03
927,383,1.3863,2014-12-03
927,415,2.7726,2014-12-03
929,38,2.9585,2015-03-20
929,341,1.04171,2014-12-01
929,383,1.30214,2014-12-01
929,415,2.61775,2014-12-01
930,38,3.0217,2015-03-17
930,341,1.06398,2014-12-01
930,383,1.32998,2014-12-01
930,415,2.65995,2014-12-01
931,38,3.036,2015-03-17
931,341,1.069,2014-12-01
931,383,1.33625,2014-12-01
931,415,2.6725,2014-12-01
933,38,3.0723,2015-03-20
933,341,1.0818,2014-12-01
933,383,1.36475,2014-12-01
933,415,2.7045,2014-12-01
935,341,1.09321,2014-12-04
935,383,1.36651,2014-12-04
935,415,2.73303,2014-12-04
936,38,3.0544,2015-03-20
936,341,1.07551,2014-12-01
936,383,1.34439,2014-12-01
936,415,2.68878,2014-12-01
937,341,1.03572,2014-12-04
937,383,1.29465,2014-12-04
937,415,2.5893,2014-12-04
938,38,3.0967,2015-03-20
938,341,1.09038,2014-12-02
938,383,1.363,2014-12-02
938,415,2.726,2014-12-02
939,341,1.05382,2014-12-04
939,383,1.31728,2014-12-04
939,415,2.63455,2014-12-04
944,38,3.0016,2015-03-17
944,341,1.05691,2014-12-01
944,383,1.32114,2014-12-01
944,415,2.64228,2014-12-01
945,341,1.05369,2014-12-05
945,383,1.31711,2014-12-05
945,415,2.63423,2014-12-05
946,341,1.03585,2014-12-05
946,383,1.29481,2014-12-05
946,415,2.58963,2014-12-05
961,341,1.05323,2014-12-05
961,383,1.31654,2014-12-05
961,415,2.63308,2014-12-05
963,341,1.05675,2014-12-03
963,383,1.32094,2014-12-03
963,415,2.64188,2014-12-03
964,38,3.0957,2015-03-20
964,341,1.09003,2014-12-02
964,383,1.36254,2014-12-02
964,415,2.72508,2014-12-02
1047,341,1.0521,2015-03-17
1047,383,1.3151,2015-03-17
1047,415,2.6278,2015-03-17
1050,341,1.0217,2015-03-18
1050,383,1.2771,2015-03-18
1050,415,2.5543,2015-03-18
1051,341,1.0328,2015-03-17
1051,383,1.291,2015-03-17
1051,415,2.582,2015-03-17
1052,341,1.0353,2015-03-18
1052,383,1.2942,2015-03-18
1052,415,2.5884,2015-03-18
1053,341,1.0267,2015-03-18
1053,383,1.2834,2015-03-18
1053,415,2.5669,2015-03-18
1055,341,1.0686,2015-05-05
1055,383,1.2983,2015-03-17
1055,415,2.5965,2015-03-17
1056,341,1.046,2015-03-17
1056,383,1.3075,2015-03-17
1056,415,2.615,2015-03-17
1060,341,1.0293,2015-03-20
1060,383,1.2866,2015-03-20
1060,415,2.5733,2015-03-20
1063,341,0.9447,2015-03-19
1063,383,1.1808,2015-03-19
1063,415,2.3617,2015-03-19
1075,341,1.0459,2015-03-19
1075,383,1.3073,2015-03-19
1075,415,2.6146,2015-03-19
1117,341,1.049,2014-12-05
1117,383,1.31125,2014-12-05
1117,415,2.6225,2014-12-05
1119,38,3.0451,2015-03-20
1119,341,1.07222,2014-12-01
1119,383,1.34028,2014-12-01
1119,415,2.68055,2014-12-01
1121,38,3.1514,2015-03-20
1121,341,1.10965,2014-12-02
1121,383,1.38706,2014-12-02
1121,415,2.77413,2014-12-02
1126,341,1.037,2015-03-20
1126,383,1.2962,2015-03-20
1126,415,2.5924,2015-03-20
1128,341,1.0557,2015-03-19
1128,383,1.3196,2015-03-19
1128,415,2.6392,2015-03-19
1130,341,1.14966,2014-04-22
1130,385,0.17245,2014-04-22
1130,415,2.87415,2014-04-22
1130,428,0.3449,2014-04-22
1140,1461,0.55,2014-07-04
1143,42,1,2013-05-21
1147,535,0.56,2013-05-21
1152,152,0.96,2014-07-24
1152,1496,0.75,2014-11-03
1153,537,1.02,2014-11-03
1154,245,0.199,2014-01-02
1167,537,1.08,2014-11-03
1172,245,0.15,2014-04-28
1175,341,0.56216,2014-07-24
1175,415,1.4054,2014-07-24
1182,537,0.82,2014-11-03
1187,306,0.38,2013-05-10
1198,152,0.32,2014-07-22
1198,1461,0.55,2014-07-04
1199,152,0.27,2014-07-22
1199,341,0.56216,2014-07-22
1199,415,1.4054,2014-07-22
1200,245,0.164,2014-01-02
1207,245,0.061,2013-12-12
1212,245,0.252,2014-01-02
1216,245,0.32,2013-12-10
1220,245,0.224,2014-01-03
1224,341,0.76082,2014-09-11
1224,415,1.90204,2014-09-11
1230,1461,0.55,2011-04-13
1232,341,0.26206,2015-06-17
1232,415,0.65515,2015-06-17
1235,341,0.15216,2015-06-17
1235,415,0.38041,2015-06-17
1236,341,0.12258,2015-06-17
1236,389,0.21451,2015-06-17
1236,415,0.30644,2015-06-17
1239,341,0.29304,2015-06-18
1239,383,0.3663,2015-06-18
1239,389,0.51282,2015-06-18
1239,415,0.7326,2015-06-18
1242,341,0.11835,2015-06-18
1242,345,0.37162,2013-03-20
1242,415,0.29587,2015-06-18
1248,341,0.12258,2015-06-18
1248,389,0.21451,2015-06-18
1248,415,0.30644,2015-06-18
1249,341,0.24093,2015-06-18
1249,415,0.60231,2015-06-18
1253,341,0.49028,2015-06-24
1253,383,0.61285,2015-06-24
1253,415,1.2257,2015-06-24
1256,341,0.15778,2015-06-24
1256,413,0.31556,2015-06-24
1256,415,0.39445,2015-06-24
1259,341,0.15216,2015-06-24
1259,415,0.38039,2015-06-24
1260,341,0.25359,2015-06-24
1260,383,0.31699,2015-06-24
1260,415,0.63398,2015-06-24
1264,341,0.25923,2015-06-24
1264,388,0.38895,2015-06-24
1264,415,0.64808,2015-06-24
1267,341,0.13102,2015-06-24
1267,415,0.32756,2015-06-24
1267,429,0.39306,2015-06-24
1269,341,0.17751,2015-06-24
1269,415,0.44379,2015-06-24
1270,341,0.15216,2015-06-24
1270,415,0.3804,2015-06-24
1270,429,0.45648,2015-06-24
1271,341,0.16906,2015-06-24
1271,383,0.21133,2015-06-24
1271,389,0.29586,2015-06-24
1271,415,0.42265,2015-06-24
1276,341,0.19949,2015-06-24
1276,415,0.49873,2015-06-24
1293,341,0.16906,2015-06-24
1293,413,0.33812,2015-06-24
1293,415,0.42265,2015-06-24
1327,341,0.46492,2015-06-24
1327,383,0.58115,2015-06-24
1327,415,1.1623,2015-06-24
1335,341,0.38039,2015-06-24
1335,415,0.95098,2015-06-24
1335,428,0.11412,2015-06-24
1344,341,0.18035,2015-06-24
1344,388,0.27053,2015-06-24
1344,415,0.45087,2015-06-24
1348,341,0.0803,2015-06-24
1348,389,0.14053,2015-06-24
1348,415,0.20076,2015-06-24
1372,341,0.24937,2015-06-24
1372,389,0.4364,2015-06-24
1372,415,0.62342,2015-06-24
1375,341,0.30995,2015-06-24
1375,389,0.54241,2015-06-24
1375,415,0.77487,2015-06-24
1472,341,0.26205,2015-06-24
1472,383,0.32756,2015-06-24
1472,415,0.65542,2015-06-24
1473,341,0.38077,2015-06-24
1473,389,0.66634,2015-06-24
1473,415,0.95193,2015-06-24
1473,641,0.28558,2015-06-24
1475,341,0.11834,2015-06-24
1475,415,0.29586,2015-06-24
1478,341,0.22401,2015-06-25
1478,388,0.33602,2015-06-25
1478,389,0.39201,2015-06-25
1478,415,0.56003,2015-06-25
1479,341,0.24937,2015-06-24
1479,415,0.62342,2015-06-24
1491,640,0.64666,2011-05-19
1492,640,0.71006,2011-05-19
1509,640,0.6847,2011-05-19
1523,347,0.55793,2015-01-23
1523,371,0.45649,2015-01-23
1523,971,0.5706,2015-01-23
1523,979,1.14122,2015-01-23
1523,1015,0.69741,2015-01-23
1523,1016,1.39483,2015-01-23
1523,1023,1.24,2015-01-23
1523,1024,0.91,2015-01-23
1523,1025,0.7,2015-01-23
1525,348,0.67628,2014-01-29
1525,968,0.84535,2014-01-29
1525,976,1.6907,2014-01-29
1525,1460,0.5875,2014-01-29
1539,1033,0.57,2015-01-23
1550,640,0.6568,2011-05-19
1578,110,0.55,2015-01-23
1585,371,0.76082,2014-07-07
1585,509,0.69,2014-07-07
1585,971,0.95102,2014-07-07
1585,979,1.90204,2014-07-07
1592,1481,0.04,2011-04-21
1621,1481,0.04,2011-04-21
1623,1056,0.88,2015-01-23
1623,1057,0.76,2015-01-23
1623,1058,1.2,2015-01-23
1641,640,0.65427,2011-05-19
1642,640,0.6847,2011-05-19
1650,640,0.64666,2011-05-19
1651,640,0.71006,2011-05-19
1667,1097,1.41,2014-01-29
1667,502514,2.82,2014-01-29
1669,341,0.98906,2014-05-05
1669,388,1.48359,2014-05-05
1669,415,2.47265,2014-05-05
1672,640,0.62891,2011-05-19
1696,371,0.46072,2014-07-02
1696,971,0.5759,2014-07-02
1696,979,1.15179,2014-07-02
1696,1081,1.82,2014-07-02
1696,1082,2.23,2014-07-02
1696,502600,1.49,2014-07-02
1704,357,0.95102,2014-07-07
1704,371,0.63401,2014-07-07
1704,971,0.79252,2014-07-07
1704,979,1.58503,2014-07-07
1704,1059,1.18878,2014-07-07
1704,1060,2.37755,2014-07-07
1710,333,0.71,2015-01-23
1710,1090,0.62133,2015-01-23
1710,1091,0.77666,2015-01-23
1710,1092,1.55333,2015-01-23
1728,371,0.65092,2014-07-31
1728,971,0.81365,2014-07-31
1728,979,1.6273,2014-07-31
1728,1116,1.75,2014-07-31
1728,1117,1.5,2014-07-31
1728,1118,1.3,2014-07-31
1731,139,2.3,2014-01-29
1731,160,1.78,2014-01-29
1731,371,0.59175,2014-01-29
1731,553,1.48,2014-01-29
1731,971,0.73968,2014-01-29
1731,979,1.47936,2014-01-29
1734,110,9.05,2014-07-02
1734,269,0.84,2014-07-02
1734,348,0.6974,2014-07-02
1734,968,0.87177,2014-07-02
1734,976,1.74354,2014-07-02
1742,333,0.95,2015-04-21
1742,364,0.73546,2015-04-21
1742,628,0.285,2015-04-21
1742,1026,0.91932,2015-04-21
1742,1028,1.83864,2015-04-21
1798,45,1.8,2014-04-28
1799,45,1.95,2014-04-28
1802,45,1.8,2014-04-28
1803,45,1.95,2014-04-28
1859,1461,0.55,2011-05-19
1911,45,2.1,2014-04-28
1913,45,1.59,2014-04-28
1916,45,1.61,2014-04-29
1917,45,1.59,2014-04-29
2012,341,0.76297,2014-09-12
2012,383,0.96159,2014-09-12
2012,415,1.92318,2014-09-12
2069,341,1.08205,2014-05-05
2069,383,1.35256,2014-05-05
2069,415,2.70512,2014-05-05
2071,341,0.69741,2014-05-06
2071,383,0.87177,2014-05-06
2071,415,1.74354,2014-05-06
2110,371,0.69741,2014-05-06
2110,971,0.87177,2014-05-06
2110,979,1.74354,2014-05-06
2147,341,0.60865,2014-05-06
2147,383,0.76082,2014-05-06
2147,415,1.52163,2014-05-06
2153,383,0.84535,2014-09-12
2168,1497,0.7,2012-01-19
2196,971,0.61288,2014-02-03
2258,341,1.16238,2014-02-03
2258,383,1.45298,2014-02-03
2258,385,0.17436,2014-02-03
2258,415,2.90595,2014-02-03
2258,428,0.3487,2014-02-03
2258,640,0.69743,2014-02-03
2294,371,0.49876,2014-05-06
2294,971,0.62345,2014-05-06
2294,979,1.24689,2014-05-06
2310,383,1.0197,2014-09-12
2311,341,0.72277,2014-09-12
2311,383,0.90346,2014-09-12
2311,415,1.80693,2014-09-12
2337,371,0.64669,2014-02-03
2337,971,0.80837,2014-02-03
2337,979,1.61673,2014-02-03
2385,341,0.45226,2014-11-19
2385,383,0.56533,2014-11-19
2385,415,1.13066,2014-11-19
2392,341,0.69741,2014-05-06
2392,383,0.87177,2014-05-06
2392,415,1.74354,2014-05-06
2393,341,0.69741,2014-05-06
2393,383,0.87177,2014-05-06
2393,415,1.74354,2014-05-06
2398,1173,0.29059,2014-09-29
2398,1174,0.58118,2014-09-29
2398,1175,0.23247,2014-09-29
2431,341,0.63401,2014-01-31
2431,383,0.79252,2014-01-31
2431,415,1.58503,2014-01-31
2431,1497,0.7,2012-01-19
2435,1499,1,2012-12-18
2451,347,0.61119,2014-12-16
2451,1015,0.76399,2014-12-16
2451,1016,1.52797,2014-12-16
2473,341,1.06937,2014-02-03
2473,383,1.3367,2014-02-03
2473,415,2.6734,2014-02-03
2482,341,0.69715,2014-05-07
2482,383,0.87177,2014-05-07
2482,415,1.74354,2014-05-07
2491,341,0.69741,2014-05-07
2491,383,0.87177,2014-05-07
2491,415,1.74354,2014-05-07
2493,341,0.69741,2014-05-07
2493,383,0.87177,2014-05-07
2493,415,1.74354,2014-05-07
2494,801,0.09,2014-11-05
2498,801,0.09,2014-02-03
2526,614,0.59175,2014-09-11
2526,1307,0.3551,2014-09-11
2526,1308,0.73968,2014-09-11
2527,341,0.54102,2014-05-07
2527,383,0.67628,2014-05-07
2578,341,0.56639,2014-04-29
2578,383,0.70798,2014-04-29
2578,640,0.33983,2014-04-29
2618,341,0.56639,2014-04-30
2618,383,0.70798,2014-04-30
2618,640,0.33983,2014-04-30
2920,39,3.6817,2014-01-10
2920,341,1.03709,2014-01-10
2920,415,2.5927,2014-01-10
2965,341,1.07782,2014-02-06
2965,383,1.34728,2014-02-06
2965,415,2.69456,2014-02-06
2983,341,1.07782,2014-02-06
2983,415,2.69456,2014-02-06
2991,97,2.18,2014-02-06
2993,97,1.59,2014-02-06
3002,97,2.04,2014-02-06
3003,97,1.98,2014-02-06
3004,97,2.04,2014-02-06
3009,97,2.59,2014-02-06
3013,583,2.04,2014-02-06
